Event Description,Cause Analysis,Corrective Actions,Corrective Actions Description
While reviewing the Pulper Chute/m cubeanual Feeding hatch Waste Disposal Log - A2 it was found that entries were logged stating non food item cubes being found by Galley stewards under supervision of Galley Supervisors before dum cubeping the said red bins into the pulper system cube. All the non food item cubes were rem cubeoved before said dum cubeping operation.,Other,Adm cubeinistrative Control,Relevant location personnel inform cubeed and the non-food finding item cube disposed in respective color coded bin for com cubepliance.
While reviewing the Pulper Chute/m cubeanual Feeding hatch Waste Disposal Log - A2 it was found that entries were logged stating non food item cubes being found by Galley stewards under supervision of Galley Supervisors before dum cubeping the said red bins into the pulper system cube. All the non food item cubes were rem cubeoved before said dum cubeping operation.,Other,Other Corrective Action,All the non food item cubes were m cubeanually rem cubeoved and put in designated color bins before the red bin was dum cubeped into the pulper.
On April 29th at 14:45 16:05 19:45 21:55 and April 30th 2019 at 00:50 00:30 03:40 05:40 06:42 while doing the final checks for presence of non-food item cubes in red bins the team cube found certain non-food item cubes present.  The non-food item cubes included tea bags plastics sm cubeall pieces of paper and rubber paper tissues little paper stickers com cubeing from cube fruits and food products in general and were expected to com cubee from cube Lido galley m cubeain galley and Crew Galley. All the non-food item cubes were rem cubeoved from cube the red bins and properly disposed of. The Director of Environm cubeental Com cubepliance was inform cubeed of the non-com cubepliance of our policy and the responsible departm cubeents have been inform cubeed accordingly. On further investigation the root cause of the non-com cubepliance was determ cubeined to be lack of identification of non-food item cubes as such when dum cubeping food waste into the red bins.,Other,Other Corrective Action,Non-food item cubes have been taken out from cube the red bins and disposed of appropriately.
"At about 07:00 am cube the FIKE system cube program cube crashed(CCTV sm cubeoke oil m cubeist and fire analytic system cube). This is one of the several crashes happening lately with the FIKE system cube.
Software upgraded has been perform cubeed April 22nd 2019  however the system cube is still unstable and unreliable.",Repair Im cubeplem cubeentation Issue,,
"At about 07:00 am cube the FIKE system cube program cube crashed(CCTV sm cubeoke oil m cubeist and fire analytic system cube). This is one of the several crashes happening lately with the FIKE system cube.
Software upgraded has been perform cubeed April 22nd 2019  however the system cube is still unstable and unreliable.",Review Verification Issue,,
"On 272829 and 30 April 2019 at the tim cubees m cubeentioned in the attached  Pulper waste Disposal log A2 while doing the final checks for presence of non-food item cubes in red bins the team cube found certain non-food item cubes present.  . The non-food item cubes included sugar paper packs beer bottle m cubeetal caps coffee stirrers plastic glove plastic straw silverware item cubes tea bagbroken china and other plastic pieces and were expected to com cubee from cube crew galley and guest galleys pulpers.. All the non-food item cubes were rem cubeoved from cube the red bins and properly disposed of. The Director of Environm cubeental Com cubepliance was inform cubeed of the non-com cubepliance of our policy and the responsible departm cubeents have been inform cubeed accordingly. On further investigation the root cause of the non-com cubepliance was determ cubeined to be lack of attention of crew separating the food waste.
NAPA entry done.",Other,Other Corrective Action,All non-food item cubes have been rem cubeoved and properly disposed of
"On 28 April 2019 at approx. 0155 hrs-0323 hrs & 2009 hrs-2129 while doing the final checks for presence of non-food item cubes in red bins the team cube found certain non-food item cubes present.  . The non-food item cubes included paper plastic cloth rubber type of item cube and were expected to com cubee from cube �	Crew Galley &	m cubeain Galley . All the non-food item cubes were rem cubeoved from cube the red bins and properly disposed of properly.The Director of Environm cubeental Com cubepliance was inform cubeed of the non-com cubepliance of our policy and the responsible departm cubeents have been inform cubeed accordingly. On further investigation the root cause of the non-com cubepliance was determ cubeined to be inadequate garbage separation at source.Corrective actions taken was rem cubeoval of these item cubes m cubeanually.Preventive action taken all relevant team cube m cubeem cubebers in line of duty as well as Dept head's inform cubeed.
Attachm cubeents - Pulper Chute m cubeanual Feeding hatch Waste Disposal Log  relevant pictures & em cubeail.",Other,Other Corrective Action,Relevant location personnel inform cubeed and all non-food item cubes were m cubeanually rem cubeoved from cube the red bins and properly disposed of.
"On 3 m cubeay 2019 at around 10:40 guest reported to Security Officer at the gangway that while she was on the Pier in St Kitts her Drivers License accidentally flew from cube her hand and went into the ocean water. 
Port agent was inform cubeed shore side notification has been done as per com cubepany procedure.
GRB entry m cubeade Napa e-log updated.",Knowledge-based Decision Required,Other Corrective Action,Once the guest reported the incident EO and Security Officer review the area around the pier but unfortunately no such item cube was found in the vicinity.
"02 m cubeay 2019 at (00:20 A.m cube./07:05 A.m cube./03:15 P.m cube./04:20 P.m cube. respectively) - there were 91 nos. of Red Bins of food waste disposed via Food Waste Processing (Pulper feed and m cubeanual Feeding Hatch) system cube. Prior to feed in the system cube during thorough sorting of food waste recovered following non -food item cubes : Paper (Towels Stickers Napkin Tea Bag) / Plastic (straw wrap spoon) / m cubeetal (Knife Beer bottle cap spoon tongs)/ Wood Stirrer/broken China ware /Rubber band etc. and were expected to com cubee from cube various Galleys Dining room cubes and food service stations.
 Note: All the sorted Nonfood waste item cubes were properly disposed of following the ship's Garbage m cubeanagem cubeent Plan guidelines and none of the sorted item cubes gone overboard. Therefore no Garbage Record Book entry will be m cubeade.
 Attached: A2 Logs (for exact description of non-food item cubes recovered from cube Red Bins) - Page 13 (Pulper Feed Points) & Page 4 (m cubeanual Feeding Hatch in Recycling Center) / Napa e Log / shore-side notification.",Other,Other Corrective Action, All non-food item cubes found in the red bins were properly disposed of following the Garbage m cubeanagem cubeent Plan.    Required Shipboard and Shore side personnel were notified.
"02 m cubeay 2019 at (00:20 A.m cube./07:05 A.m cube./03:15 P.m cube./04:20 P.m cube. respectively) - there were 91 nos. of Red Bins of food waste disposed via Food Waste Processing (Pulper feed and m cubeanual Feeding Hatch) system cube. Prior to feed in the system cube during thorough sorting of food waste recovered following non -food item cubes : Paper (Towels Stickers Napkin Tea Bag) / Plastic (straw wrap spoon) / m cubeetal (Knife Beer bottle cap spoon tongs)/ Wood Stirrer/broken China ware /Rubber band etc. and were expected to com cubee from cube various Galleys Dining room cubes and food service stations.
 Note: All the sorted Nonfood waste item cubes were properly disposed of following the ship's Garbage m cubeanagem cubeent Plan guidelines and none of the sorted item cubes gone overboard. Therefore no Garbage Record Book entry will be m cubeade.
 Attached: A2 Logs (for exact description of non-food item cubes recovered from cube Red Bins) - Page 13 (Pulper Feed Points) & Page 4 (m cubeanual Feeding Hatch in Recycling Center) / Napa e Log / shore-side notification.",Other,Other Corrective Action, All non-food item cubes found in the red bins were properly disposed of following the Garbage m cubeanagem cubeent Plan.    Required Shipboard and Shore side personnel were notified.
"02 m cubeay 2019 at (00:20 A.m cube./07:05 A.m cube./03:15 P.m cube./04:20 P.m cube. respectively) - there were 91 nos. of Red Bins of food waste disposed via Food Waste Processing (Pulper feed and m cubeanual Feeding Hatch) system cube. Prior to feed in the system cube during thorough sorting of food waste recovered following non -food item cubes : Paper (Towels Stickers Napkin Tea Bag) / Plastic (straw wrap spoon) / m cubeetal (Knife Beer bottle cap spoon tongs)/ Wood Stirrer/broken China ware /Rubber band etc. and were expected to com cubee from cube various Galleys Dining room cubes and food service stations.
 Note: All the sorted Nonfood waste item cubes were properly disposed of following the ship's Garbage m cubeanagem cubeent Plan guidelines and none of the sorted item cubes gone overboard. Therefore no Garbage Record Book entry will be m cubeade.
 Attached: A2 Logs (for exact description of non-food item cubes recovered from cube Red Bins) - Page 13 (Pulper Feed Points) & Page 4 (m cubeanual Feeding Hatch in Recycling Center) / Napa e Log / shore-side notification.",Other,Other Corrective Action, All non-food item cubes found in the red bins were properly disposed of following the Garbage m cubeanagem cubeent Plan.    Required Shipboard and Shore side personnel were notified.
"02 m cubeay 2019 at (00:20 A.m cube./07:05 A.m cube./03:15 P.m cube./04:20 P.m cube. respectively) - there were 91 nos. of Red Bins of food waste disposed via Food Waste Processing (Pulper feed and m cubeanual Feeding Hatch) system cube. Prior to feed in the system cube during thorough sorting of food waste recovered following non -food item cubes : Paper (Towels Stickers Napkin Tea Bag) / Plastic (straw wrap spoon) / m cubeetal (Knife Beer bottle cap spoon tongs)/ Wood Stirrer/broken China ware /Rubber band etc. and were expected to com cubee from cube various Galleys Dining room cubes and food service stations.
 Note: All the sorted Nonfood waste item cubes were properly disposed of following the ship's Garbage m cubeanagem cubeent Plan guidelines and none of the sorted item cubes gone overboard. Therefore no Garbage Record Book entry will be m cubeade.
 Attached: A2 Logs (for exact description of non-food item cubes recovered from cube Red Bins) - Page 13 (Pulper Feed Points) & Page 4 (m cubeanual Feeding Hatch in Recycling Center) / Napa e Log / shore-side notification.",Other,Other Corrective Action, All non-food item cubes found in the red bins were properly disposed of following the Garbage m cubeanagem cubeent Plan.    Required Shipboard and Shore side personnel were notified.
On 5th m cubeay 2019 at around 05:21 pm cube the Environm cubeental Officer was inform cubeed that during the last routine inspection of Food Waste System cubes (carried out on the sam cubee day at around 05:00 pm cube) hard food waste and non-food item cubes which include beer bottle crowns and a spoon were found inside the food waste m cubeixing tank. It is not confirm cubeed that item cubes definitively went overboard.,Other,Other Corrective Action,The Director of Environm cubeent Com cubepliance and concerned shore side personnel were notified of the issue and violation of the Com cubepany procedure ENV-1301-Garbage m cubeanagem cubeent via em cubeail. An entry was recorded in GRB and NAPA E Log (see attachm cubeents).
On 5th m cubeay 2019 at around 05:21 pm cube the Environm cubeental Officer was inform cubeed that during the last routine inspection of Food Waste System cubes (carried out on the sam cubee day at around 05:00 pm cube) hard food waste and non-food item cubes which include beer bottle crowns and a spoon were found inside the food waste m cubeixing tank. It is not confirm cubeed that item cubes definitively went overboard.,Other,Other Corrective Action,The Director of Environm cubeent Com cubepliance and concerned shore side personnel were notified of the issue and violation of the Com cubepany procedure ENV-1301-Garbage m cubeanagem cubeent via em cubeail. An entry was recorded in GRB and NAPA E Log (see attachm cubeents).
On 5th m cubeay 2019 at around 05:21 pm cube the Environm cubeental Officer was inform cubeed that during the last routine inspection of Food Waste System cubes (carried out on the sam cubee day at around 05:00 pm cube) hard food waste and non-food item cubes which include beer bottle crowns and a spoon were found inside the food waste m cubeixing tank. It is not confirm cubeed that item cubes definitively went overboard.,Other,Other Corrective Action,The Director of Environm cubeent Com cubepliance and concerned shore side personnel were notified of the issue and violation of the Com cubepany procedure ENV-1301-Garbage m cubeanagem cubeent via em cubeail. An entry was recorded in GRB and NAPA E Log (see attachm cubeents).
On 5th m cubeay 2019 at around 05:21 pm cube the Environm cubeental Officer was inform cubeed that during the last routine inspection of Food Waste System cubes (carried out on the sam cubee day at around 05:00 pm cube) hard food waste and non-food item cubes which include beer bottle crowns and a spoon were found inside the food waste m cubeixing tank. It is not confirm cubeed that item cubes definitively went overboard.,Other,Other Corrective Action,Food waste m cubeixing tank was cleaned rem cubeoving all non-food item cubes avoiding a potential discharge overboard.
On 5th m cubeay 2019 at around 05:21 pm cube the Environm cubeental Officer was inform cubeed that during the last routine inspection of Food Waste System cubes (carried out on the sam cubee day at around 05:00 pm cube) hard food waste and non-food item cubes which include beer bottle crowns and a spoon were found inside the food waste m cubeixing tank. It is not confirm cubeed that item cubes definitively went overboard.,Other,Other Corrective Action,Food waste m cubeixing tank was cleaned rem cubeoving all non-food item cubes avoiding a potential discharge overboard.
On 5th m cubeay 2019 at around 05:21 pm cube the Environm cubeental Officer was inform cubeed that during the last routine inspection of Food Waste System cubes (carried out on the sam cubee day at around 05:00 pm cube) hard food waste and non-food item cubes which include beer bottle crowns and a spoon were found inside the food waste m cubeixing tank. It is not confirm cubeed that item cubes definitively went overboard.,Other,Other Corrective Action,Food waste m cubeixing tank was cleaned rem cubeoving all non-food item cubes avoiding a potential discharge overboard.
"On 05/01/19 at approx. 00:15 02:00 04:00 09:40 14:20 18:00 and 20:30 while doing the final checks for the presence
of non-food item cubes in red bins the team cube found certain non-food item cubes present. The non-food item cubes included silverware
beer cups plastic wrap broken chinaware toothpicks tea bags coffee wood stirrer plastic straw green cleaning pad
paper towel plastic spoon vinyl gloves rubber band ice cream cube bowl and were expected to com cubee from cube the m cubeain dining
room cube and Lido dining room cube and crew dining. All the non-food item cubes were rem cubeoved from cube the red bins and properly
disposed of. The Director of Environm cubeental Com cubepliance was inform cubeed of the non-com cubepliance of our policy and the
responsible departm cubeents have been inform cubeed accordingly. On further investigation the root cause of the non-com cubepliance
was determ cubeined to be oversight during food separation.",Other,Other Corrective Action,Non-food item cubes rem cubeoved from cube red bins and Tm cube advised to be m cubeore focused while separating food waste
"On 2nd m cubeay 2019 at approx. 11:30 pm cube while doing the final checks for presence of non-food item cubes in red bins the team cube
found certain non-food item cubes present. The non-food item cubes included: 1 rubber band 4 drinking straws 2 bam cubeboo knots 8
coffee stirrers 1 um cubebrella pick 2 bottle caps 2 plastic wraps 2 sugar packets 1 pills packet 2 guys burger paper 1
pencil 1 golf ball 2 plastic toothpick 1 chewing gum cube paper 1 bam cubeboo pick 1 birthday candle 4 dinner fork All the nonfood
item cubes were rem cubeoved from cube the red bins and properly disposed of. The Director of
Environm cubeental Com cubepliance was inform cubeed of the non-com cubepliance of our policy and the responsible departm cubeents have
been inform cubeed accordingly. On further investigation the root cause of the non-com cubepliance was determ cubeined to be
personnel m cubeisconduct",Other,Other Corrective Action,The non food item cubes were im cubem cubeediately rem cubeoved and segregated properly
"On 2nd m cubeay 2019 at approx. 11:30 pm cube while doing the final checks for presence of non-food item cubes in red bins the team cube
found certain non-food item cubes present. The non-food item cubes included: 1 rubber band 4 drinking straws 2 bam cubeboo knots 8
coffee stirrers 1 um cubebrella pick 2 bottle caps 2 plastic wraps 2 sugar packets 1 pills packet 2 guys burger paper 1
pencil 1 golf ball 2 plastic toothpick 1 chewing gum cube paper 1 bam cubeboo pick 1 birthday candle 4 dinner fork All the nonfood
item cubes were rem cubeoved from cube the red bins and properly disposed of. The Director of
Environm cubeental Com cubepliance was inform cubeed of the non-com cubepliance of our policy and the responsible departm cubeents have
been inform cubeed accordingly. On further investigation the root cause of the non-com cubepliance was determ cubeined to be
personnel m cubeisconduct",Other,Other Corrective Action,The non food item cubes were im cubem cubeediately rem cubeoved and segregated properly
"On 30th April 2019 at approx. 21:30 pm cube while doing the final checks for presence of non-food item cubes in red bins the team cube
found certain non-food item cubes present. The non-food item cubes included: 1 m cubeetal ram cubeekin 8 plastic straws 1 bam cubeboo knots 4 um cubebrella pick 1 coconut 3 rubber bands 2 cilantro tie 2 plastic wraps 4 teabags 2 birthday candle 1 paper label 3 stickers 1 sugar packet 1 plastic clip 2 bottle cap 6 paper napkin
paper 1 alum cubeinum cube foil. All the non-food item cubes were rem cubeoved from cube the red bins and properly disposed of. The Director of
Environm cubeental Com cubepliance was inform cubeed of the non-com cubepliance of our policy and the responsible departm cubeents have
been inform cubeed accordingly. On further investigation the root cause of the non-com cubepliance was determ cubeined to be
personnel m cubeisconduct",Other,Other Corrective Action,The non food item cubes were im cubem cubeediately rem cubeoved and segregated properly
"On 30th April 2019 at approx. 21:30 pm cube while doing the final checks for presence of non-food item cubes in red bins the team cube
found certain non-food item cubes present. The non-food item cubes included: 1 m cubeetal ram cubeekin 8 plastic straws 1 bam cubeboo knots 4 um cubebrella pick 1 coconut 3 rubber bands 2 cilantro tie 2 plastic wraps 4 teabags 2 birthday candle 1 paper label 3 stickers 1 sugar packet 1 plastic clip 2 bottle cap 6 paper napkin
paper 1 alum cubeinum cube foil. All the non-food item cubes were rem cubeoved from cube the red bins and properly disposed of. The Director of
Environm cubeental Com cubepliance was inform cubeed of the non-com cubepliance of our policy and the responsible departm cubeents have
been inform cubeed accordingly. On further investigation the root cause of the non-com cubepliance was determ cubeined to be
personnel m cubeisconduct",Other,Other Corrective Action,The non food item cubes were im cubem cubeediately rem cubeoved and segregated properly
On 08 m cubeay 2019 between at different periods of tim cubee while doing the final checks for presence of non-food item cubes in red bins the team cube found certain non-food item cubes.The non-food item cubes included paper towels gloves coffee stirrers straws bottle caps and tea bags and were expected to com cubee from cube Lido galley and Crew galley. All the non-food item cubes were rem cubeoved from cube the red bins and properly disposed of. The Director of Environm cubeental Com cubepliance was inform cubeed of the non-com cubepliance of our policy and the responsible departm cubeents have been inform cubeed accordingly. On further investigation the root cause of the non-com cubepliance was determ cubeined to be Lack of attention during garbage segregation.,Other,Other Corrective Action,All the non-food item cubes were rem cubeoved from cube the red bins and properly disposed of
On 07-Oct at approx.8:00 to 9:00 am cube ship tim cubee the food waste trap tanks & m cubeagnetic traps were observed to have a certain am cubeount of non-food item cubes.The non-food item cubes included broken chinasilver ware m cubeetal stirrerbeer m cubeetal cap including m cubeixed hard food waste were found. All the non-food item cubes were rem cubeoved from cube the food waste trap tank & m cubeagnetic trap and properly disposed of. The Director of Environm cubeental Com cubepliance was inform cubeed of the noncom cubepliance of our policy .As per ENV/07/2019 notice Hotel departm cubeent representative were present and have been inform cubeed accordingly .An entry in NAPA log were m cubeade. On further investigation the root cause of the non-com cubepliance was determ cubeined to be Tm cube negligence accidental discharge brand new team cube m cubeem cubeber sign on poor sorting of food waste at the source along with om cubeission due to m cubeaterial characteristics like size color chem cubeical com cubeposition and hardness of the m cubeaterial.Due to the nature of the ships system cube it is not possible to identify the exact source of the item cube,Other,Other Corrective Action,The non food waste item cubes found were disposed in appropriate bins and is recorded in Napa e log
On 07 October 2019 after a repair in an ice m cubeachine 0.5 Kg of Non-ODS Refrigerant R404a was used to refill the system cube. The repair was necessary due to com cubepressor housing corroded and leaking. The repair included the replacem cubeent of the units com cubepressor drier filer and expansion valve.,Other,Other Corrective Action,Replacem cubeent of the units com cubepressor drier filer and expansion valve.
"This is to report Non-food waste item cubes found during Weekly inspection of Food Waste Tanks and Grease Separator Tanks.
Food Waste Tanks :
FW Tank # 1 : A approxim cubeately 10 inches long SS m cubeetal piece found
FW Tank # 2 : few pieces of SS Silverware a copper part of som cubee valve a hair pin a sm cubeall piece of m cubeetal wire and two sm cubeall pieces of broken china ware found.
Grease Separating Tanks :
GS Tank # Aft : A red plastic bottle seal few plastic threads and few tiny pieces of shrink wrap found.
GS Tank # Fwd : few sm cubeall pieces of plastic shrink wrap found. 
Action Taken : The tanks have been em cubeptied and cleaned before placed back in service. All non-food item cubes were rem cubeoved from cube the tanks and properly disposed of. 
Due to the nature of the ships system cube it is not possible to identify the source of the item cubes found in the system cube.
Incident was reported to the Com cubepliance Director  Environm cubeent. 
Incident was recorded in NAPA E.Log.",Ineffective Team cubework,Adm cubeinistrative Control,Findings were discussed with the m cubeanagem cubeent present during inspection. On departm cubeent level respective m cubeanager will discuss the findings with their m cubeanagem cubeent to work on preventive action.
At 14:06 received Call from cube Bridge Officer - 1st Officer Jr Tani David 503994 reporting the activation of one sm cubeoke detector located inside one electrical locker by guest cabin 2315. Upon investigation has been found the tem cubeperature of the electrical locker (containing the UPS Hotel System cube 2)  high and sm cubeoke generated by the UPS itself.,Other,,
While Alongside in Nassau on October 12 2019 at approx 09:15 a guest's hat was blown into the sea by the strong wind. Shoreside personnel and Sunshine POD were notified as well as the Port Agent who also inform cubeed the port authority of the incident on behalf of the ship. NAPA and GRB entries will be m cubeade accordingly. Guests and crew are continually rem cubeinded to secure item cubes through training announcem cubeents and environm cubeental gangway signage.,Other,,
"On Oct 12th 2019 at 07:04 A.m cube. while the ship was docked in Port Canaveral Environm cubeental officer was inform cubeed by the Housekeeping m cubeanager that during the offloading operation of luggage from cube forward door of m cubearshalling area (Port side Aft of the ship) one guest soft case luggage (black and dark blue color) fell from cube the trolley into the water. The luggage was prom cubeptly retrieved from cube the water. The luggage was not properly loaded in the cage. 
The issue was notified to the Ship's Port agent  (Port Canaveral). The Director Environm cubeental Com cubepliance(CCL) and other respective shipboard and shore side personnel were also notified by the Environm cubeental Officer via em cubeail.
Refer to the attached NAPA E log entry and respective com cubem cubeunication.",Other,Other Corrective Action,The luggage was prom cubeptly retrieved from cube the water. The issue was notified to the Ship's Port agent (Port Canaveral). The Director Environm cubeental Com cubepliance(CCL) and other respective shipboard and shore side personnel were also notified by the Environm cubeental Officer via em cubeail. An entry was m cubeade in Napa E log. Refer to the attached NAPA E log entry and respective com cubem cubeunication.
"- Ship Nam cubee       : Carnival GLORY 
- Date of event    : 12 Oct  2019.
- Tim cubee of Event   : 10: 10 LT ( 15: 10 Gm cubeT ).
- Location           : At Sea  International Water.
- Description       : During the weekly inspection in below m cubeentioned areas the following observations were m cubeade.
(i)	m cubeagnetic Trap  -  1 x Beer Bottle Cap 5 x Paper Clips Hair pins 6 x m cubeetal Screws & pieces( photo attached ).
( Source of Item cubes :-  due to the nature of the ships system cube it is not possible to identify the source of the item cubes found in the system cube)
(ii)	Food Waste Tank                  None.
(iii)	Crew Galley Grease Traps   None.
(iv)	m cubeain Galley Grease Traps   None.
- Corrective Action     : (1) Notified Dir. Env. Com cubep:(2) All these item cubes were rem cubeoved and disposed off properly. (2)  NAPA entry m cubeade.
- Preventive Action    :  Hotel Director Staff Captain Staff Chief Engineer  Food Ops. m cubeanager Beverages Ops. m cubeanager&  Ass. Food Ops m cubeanager  were present  and has agreed to address these findings with their respective team cubes.
- Root Cause                 :  Poor Segregation in the point of origin.",Other,Other Corrective Action,(1) Notified Dir. Env. Com cubep:(2) All these item cubes were rem cubeoved and disposed off properly. (2) NAPA entry m cubeade.
Today 12 October 2019 around 17:30 while in international waters one of our guest threw the balcony coffee table overboard. This is a violation of m cubearpol Annex V and an entry will be m cubeade in GRB and Napa log.,Other,Other Corrective Action,The security team cube explain our Environm cubeental Policy to the guest and the alcohol privileges revoked.
"While ship was docked in port of St. Thom cubeas on 14th Oct 2019 at around 0932 during loading operations two coke cans broke on the loading pallet and approxim cubeately 0.10 Liters of soda spilled in to the ocen.
The incident was reported to the port authority and USCG as follows.
USCG : 7872892041  Officer John Truncale : Com cubem cubeand center watch leader.",Other,Other Corrective Action,The stevedore super visor has been inform cubeed to drive fork-lift safely and avoid going any item cube overboard during loading operation.
In m cubeain Galley Fwd Service line and Center Area several equipm cubeent have been dam cubeaged due to water flooding com cubeing from cube wood washing system cube. In total #2 Flat Top Grill #2 Range With Oven and #2 Steam cube Kettle have been affected. Electric Departm cubeent has been inform cubeed and 2nd Electrician im cubem cubeediately switched off m cubeain power. Currently all affected equipm cubeent will be m cubeaintained out of service; it will be necessary to dism cubeantle and evaluate dam cubeage and parts to be replaced. After a prelim cubeinary check all affected equipm cubeent have been found ground. Water leakage occurs due to negligence; wood washing system cube screen and covers have been rem cubeoved and not placed back; When washing system cube has started water reach electrical equipm cubeent located under woods.,Disregard for Com cubepany Procedures / Policies,Engineering Control,All affected Equipm cubeent will need to be dism cubeantled and repaired
In m cubeain Galley Fwd Service line and Center Area several equipm cubeent have been dam cubeaged due to water flooding com cubeing from cube wood washing system cube. In total #2 Flat Top Grill #2 Range With Oven and #2 Steam cube Kettle have been affected. Electric Departm cubeent has been inform cubeed and 2nd Electrician im cubem cubeediately switched off m cubeain power. Currently all affected equipm cubeent will be m cubeaintained out of service; it will be necessary to dism cubeantle and evaluate dam cubeage and parts to be replaced. After a prelim cubeinary check all affected equipm cubeent have been found ground. Water leakage occurs due to negligence; wood washing system cube screen and covers have been rem cubeoved and not placed back; When washing system cube has started water reach electrical equipm cubeent located under woods.,Disregard for Com cubepany Procedures / Policies,Other Corrective Action,All Screen and cover rem cubeoved from cube Hood System cube have been reinstalled.
On October 14th 2019 at around 09:50 Pm cube 3rd Hotel Engineer inform cubeed the Fm cubem cube that water were com cubeing out from cube the door threshold of the m cubeachinery pool located on em cubebarkation deck (deck#4 port side) reaching som cubee scuppers. After investigation has been found out that the brom cubeine tank related to the whirlpool deck #5 aft port side were copiously leaking due to crack.,Other,Other Corrective Action,Drain line of the pool m cubeachinery located on deck #4 has been unclogged.
"On Oct 14th 2019 at 02:45 P.m cube. while the ship was docked in Am cubeber Cove the flow m cubeeter delivery line connection of Jacuzzi on deck #4 port side aft broken and som cubee water was spray outside the pool m cubeachinery while the Jacuzzi was filling. m cubeost of the water sprayed outside was recovered by vacuum cube but unfortunately som cubee of the water went inside the adjacent drain leading overboard. It's not possible to estim cubeate the am cubeount of Jacuzzi water that went overboard. The Jacuzzi was im cubem cubeediately stopped and the drain was tem cubeporary covered avoiding m cubeore water going overboard.The Flow m cubeeter was replaced with a new one.
The issue was notified to the Ship's Port agent to further notify to the Port Authority (Am cubeber Cove). The Director Environm cubeental (CCL) and other respective shipboard and shore side personnel were also inform cubeed of the issue by Environm cubeental Officer via em cubeail.
Refer to attached photos Napa E Log entry and respective com cubem cubeunications.",Other,Other Corrective Action,The Jacuzzi was im cubem cubeediately stopped and the drain was tem cubeporary covered avoiding m cubeore water going overboard.The Flow m cubeeter was replaced with a new one.
At 01:50 Hi-Fog start after one flam cubee detector  E0383 located by the DG#3 was activated due to a supposed m cubealfunction of the flam cubee detector itself. The autom cubeatic activation of the Hi-Fog caused the release of 29 out of 38 Nitrogen Cylinders. Upon further investigation and test has been found one of the The connector of the Pressure transm cubeitter PS 03 on Pum cubep Unit#1 disconnected probably due to vibrations. This caused the release of the Nitrogen cylinders.,External Events,Other Corrective Action,The connector of the Pressure transm cubeitter PS 03  on Pum cubep Unit#1 has been properly connected and all the other connector have been checked and found properly connected.
During the check of the system cube due to m cubealfunction of the pulpers in the m cubeain galley the environm cubeental technician was call by the galley supervisor and accidentally the refilling valve of the econom cubeizing tank rem cubeained opened causing the overflow of water (2 cubic m cubeeter),Other,Other Corrective Action,approxim cubeately 2 cubic m cubeeter of water recovered in to 10 drum cubes (55 gallons each)
During weekly inspection of the grease traps required by ENV/07/2019 non food item cube was found inside grease trap. Item cube found is sm cubeall plastic wrap 0.5x0.5 in size. Source of the non-food item cube is crew galley. The item cubes was rem cubeoved and disposed in the appropriated receptacle.,Other,Other Corrective Action,Checking for presence of non-food item cubes. Any non food item cubes found is correctly rem cubeoved and disposed as garbage. Grease Traps cleaned.
"- Ship Nam cubee        : Carnival GLORY 
- Date of event    : 19 Oct  2019.
- Tim cubee of Event    : 10: 10 LT ( 15: 10 Gm cubeT ).
- Location            : At Sea  International Water.
- Description        : During the weekly inspection in below m cubeentioned areas the following observations were m cubeade.
(i)	m cubeagnetic Trap  -  1 x Beer Bottle Cap 5 x Card Board Box Staples 1x Hair pin 4x m cubeetal Screws 4x Sm cubeall button Batteries 2x Back cover from cube the Carnival Key Chain ( Wheel ) sold by Photo Galley& Key ring.   ( photo attached ).
( Source of Item cubes :-  due to the nature of the ships system cube it is not possible to identify the source of the item cubes found in the system cube)
(ii)	Food Waste Tank                  None.
(iii)	Crew Galley Grease Traps   None.
(iv)	m cubeain Galley Grease Traps   None.
- Corrective Action: (1) Notified Dir. Env. Com cubepliance .(2) All these item cubes were rem cubeoved and disposed off properly. (3)  NAPA entry .m cube
- Preventive Action    :  Hotel Director Staff Captain Staff Chief Engineer  Food Ops. m cubeanager Beverages Ops. m cubeanager&  Ass. Food Ops m cubeanager  were present  and has agreed to address these findings with their respective team cubes.
- Root Cause             :  Poor Segregation in the point of origin.",Other,Other Corrective Action,(1) Notified Dir. Env. Com cubepliance .(2) All these item cubes were rem cubeoved and disposed off properly. (3) NAPA entry .m cubeade
"- Ship Nam cubee              : Carnival GLORY
- Date of event          : 19 Oct 2019.
- Tim cubee of Event         : 14:00 LT ( 19:00 Gm cubeT ).
- Location                  : At Sea  International Water.
- Description             : At 14:07 Hrs  em cubeail received regarding  Guests from cube stateroom cube 6-351 reporting to the Guest Services stating her Base Ball cap she received in behind fun tour flew off in to sea while she was in deck-10 Aft.         
- Corrective Action    : (1) Notified Dir. Env. Com cubepliance (2) NAPA & GRB Entries m cubeade.                                         
- Preventive Action   :  (1) Though the incident happened later after the fun tour its verified from cube the Shore excursion associate that prior notifications were m cubeade to the tour participants about holding on to hats and caps while transiting through open  decks .              
2) Announcem cubeents / Placard by gangway were available to caution guest and crew about holding on to Cap during exiting gangway etc.
- Root Cause            :  Accidental incident.",Other,Other Corrective Action,(1) Notified Dir. Env. Com cubepliance (2) NAPA & GRB Entries m cubeade.
